url,label
https://www.shidongli133.xyz/auth/register,Email Validation
https://88xxa.one/auth/register,GeeTest Validation
https://my.fyy.pw/auth/register,GeeTest Validation
https://少数人.moe/auth/register,GeeTest Validation
https://www.ssrmo.co/auth/register,GeeTest Validation
http://v2cloud.site/auth/register,危险通信(HTTP)
https://103.172.116.172/auth/register,未授权站点
https://by1.qqdou.cyou/auth/register,请求异常(ERROR:302)
https://getluffy.asia/auth/register,限制注册(邮箱)
https://miru.cloud/auth/register,限制注册(邮箱)
